TimeStample,T,W,WD
2015-01-01 02:00:00,0.325714286,0.217391304,-0.765830574
2015-01-01 05:00:00,0.325714286,0.217391304,-0.765830574
2015-01-01 08:00:00,0.325714286,0.217391304,-0.765830574
2015-01-01 11:00:00,0.325714286,0.217391304,-0.765830574
2015-01-01 14:00:00,0.325714286,0.217391304,-0.765830574
2015-01-01 17:00:00,0.325714286,0.217391304,-0.765830574
2015-01-01 20:00:00,0.325714286,0.217391304,-0.765830574
2015-01-01 23:00:00,0.325714286,0.217391304,-0.765830574
2015-01-02 02:00:00,0.28,0.152173913,1.2245251
2015-01-02 05:00:00,0.28,0.152173913,1.2245251
2015-01-02 08:00:00,0.28,0.152173913,1.2245251
2015-01-02 11:00:00,0.28,0.152173913,1.2245251
2015-01-02 14:00:00,0.28,0.152173913,1.2245251
2015-01-02 17:00:00,0.28,0.152173913,1.2245251
2015-01-02 20:00:00,0.28,0.152173913,1.2245251
2015-01-02 23:00:00,0.28,0.152173913,1.2245251
2015-01-03 02:00:00,0.262857143,0.108695652,1.2245251
2015-01-03 05:00:00,0.262857143,0.108695652,1.2245251
2015-01-03 08:00:00,0.262857143,0.108695652,1.2245251
2015-01-03 11:00:00,0.262857143,0.108695652,1.2245251
2015-01-03 14:00:00,0.262857143,0.108695652,1.2245251
2015-01-03 17:00:00,0.262857143,0.108695652,1.2245251
2015-01-03 20:00:00,0.262857143,0.108695652,1.2245251
2015-01-03 23:00:00,0.262857143,0.108695652,1.2245251
2015-01-04 02:00:00,0.342857143,0.02173913,1.2245251
2015-01-04 05:00:00,0.342857143,0.02173913,1.2245251
2015-01-04 08:00:00,0.342857143,0.02173913,1.2245251
2015-01-04 11:00:00,0.342857143,0.02173913,1.2245251
2015-01-04 14:00:00,0.342857143,0.02173913,1.2245251
2015-01-04 17:00:00,0.342857143,0.02173913,1.2245251
2015-01-04 20:00:00,0.342857143,0.02173913,1.2245251
2015-01-04 23:00:00,0.342857143,0.02173913,1.2245251
2015-01-05 02:00:00,0.368571429,0.195652174,-0.765830574
2015-01-05 05:00:00,0.368571429,0.195652174,-0.765830574
2015-01-05 08:00:00,0.368571429,0.195652174,-0.765830574
2015-01-05 11:00:00,0.368571429,0.195652174,-0.765830574
2015-01-05 14:00:00,0.368571429,0.195652174,-0.765830574
2015-01-05 17:00:00,0.368571429,0.195652174,-0.765830574
2015-01-05 20:00:00,0.368571429,0.195652174,-0.765830574
