TimeStample,Inflows
2015-01-01 02:00:00,0.018577095
2015-01-01 05:00:00,0.018577095
2015-01-01 08:00:00,0.018577095
2015-01-01 11:00:00,0.017673344
2015-01-01 14:00:00,0.023999598
2015-01-01 17:00:00,0.018627303
2015-01-01 20:00:00,0.021991264
2015-01-01 23:00:00,0.046944821
2015-01-02 02:00:00,0.01872772
2015-01-02 05:00:00,0.01872772
2015-01-02 08:00:00,0.025204599
2015-01-02 11:00:00,0.077923382
2015-01-02 14:00:00,0.060551288
2015-01-02 17:00:00,0.078977758
2015-01-02 20:00:00,0.084400261
2015-01-02 23:00:00,0.06140483
2015-01-03 02:00:00,0.039463775
2015-01-03 05:00:00,0.037355023
2015-01-03 08:00:00,0.039011899
2015-01-03 11:00:00,0.023447306
2015-01-03 14:00:00,0.018828137
2015-01-03 17:00:00,0.041321484
2015-01-03 20:00:00,0.092383391
2015-01-03 23:00:00,0.061203997
2015-01-04 02:00:00,0.060551288
2015-01-04 05:00:00,0.037355023
2015-01-04 08:00:00,0.037355023
2015-01-04 11:00:00,0.01872772
2015-01-04 14:00:00,0.021137722
2015-01-04 17:00:00,0.033087312
2015-01-04 20:00:00,0.136365919
2015-01-04 23:00:00,0.062459206
2015-01-05 02:00:00,0.018677512
2015-01-05 05:00:00,0.05588191
2015-01-05 08:00:00,0.079128383
2015-01-05 11:00:00,0.102274439
2015-01-05 14:00:00,0.109353818
2015-01-05 17:00:00,0.176683235
2015-01-05 20:00:00,0.23241452
2015-01-05 23:00:00,0.055781493
2015-01-06 02:00:00,0.176633027
2015-01-06 05:00:00,0.037204398
2015-01-06 08:00:00,0.060450871
2015-01-06 11:00:00,0.037857107
2015-01-06 14:00:00,0.076818798
2015-01-06 17:00:00,0.020485013
2015-01-06 20:00:00,0.121956118
2015-01-06 23:00:00,0.030878144
2015-01-07 02:00:00,0.079128383
2015-01-07 05:00:00,0.043631069
2015-01-07 08:00:00,0.06999046
2015-01-07 11:00:00,0.108399859
2015-01-07 14:00:00,0.185268866
2015-01-07 17:00:00,0.028217101
2015-01-07 20:00:00,0.088467139
2015-01-07 23:00:00,0.09273485
2015-01-08 02:00:00,0.028267309
2015-01-08 05:00:00,0.060501079
2015-01-08 08:00:00,0.037304815
2015-01-08 11:00:00,0.035898981
2015-01-08 14:00:00,0.056735452
2015-01-08 17:00:00,0.0264096
2015-01-08 20:00:00,0.106642567
2015-01-08 23:00:00,0.07184817
2015-01-09 02:00:00,0.038710649
2015-01-09 05:00:00,0.018677512
2015-01-09 08:00:00,0.022141889
2015-01-09 11:00:00,0.162072601
2015-01-09 14:00:00,0.050409198
2015-01-09 17:00:00,0.04051815
2015-01-09 20:00:00,0.158658432
2015-01-09 23:00:00,0.035095647
2015-01-10 02:00:00,0.025104182
2015-01-10 05:00:00,0.037204398
2015-01-10 08:00:00,0.018627303
2015-01-10 11:00:00,0.011698549
2015-01-10 14:00:00,0.109755485
2015-01-10 17:00:00,0.023296681
2015-01-10 20:00:00,0.016669177
2015-01-10 23:00:00,0.059446704
2015-01-11 02:00:00,0.018577095
2015-01-11 05:00:00,0.018577095
2015-01-11 08:00:00,0.018577095
2015-01-11 11:00:00,0.047497113
2015-01-11 14:00:00,0.040267109
2015-01-11 17:00:00,0.036601898
2015-01-11 20:00:00,0.035396897
2015-01-11 23:00:00,0.041321484
2015-01-12 02:00:00,0.018627303
2015-01-12 05:00:00,0.025957725
2015-01-12 08:00:00,0.023899182
2015-01-12 11:00:00,0.053020033
2015-01-12 14:00:00,0.094793393
2015-01-12 17:00:00,0.073053171
2015-01-12 20:00:00,0.063814832
2015-01-12 23:00:00,0.072350254
2015-01-13 02:00:00,0.012351258
2015-01-13 05:00:00,0.065421499
2015-01-13 08:00:00,0.027765226
2015-01-13 11:00:00,0.038409399
2015-01-13 14:00:00,0.059597329
2015-01-13 17:00:00,0.03775669
2015-01-13 20:00:00,0.023999598
2015-01-13 23:00:00,0.077772757
2015-01-14 02:00:00,0.019782096
