TimeStample,Rain_sum
2015-01-01 02:00:00,0
2015-01-01 05:00:00,0
2015-01-01 08:00:00,0.008403361
2015-01-01 11:00:00,0
2015-01-01 14:00:00,0
2015-01-01 17:00:00,0
2015-01-01 20:00:00,0
2015-01-01 23:00:00,0
2015-01-02 02:00:00,0
2015-01-02 05:00:00,0
2015-01-02 08:00:00,0
2015-01-02 11:00:00,0
2015-01-02 14:00:00,0
2015-01-02 17:00:00,0
2015-01-02 20:00:00,0
2015-01-02 23:00:00,0
2015-01-03 02:00:00,0
2015-01-03 05:00:00,0
2015-01-03 08:00:00,0
2015-01-03 11:00:00,0
2015-01-03 14:00:00,0
2015-01-03 17:00:00,0
2015-01-03 20:00:00,0
2015-01-03 23:00:00,0
2015-01-04 02:00:00,0
2015-01-04 05:00:00,0
2015-01-04 08:00:00,0
2015-01-04 11:00:00,0
2015-01-04 14:00:00,0
2015-01-04 17:00:00,0
2015-01-04 20:00:00,0.008403361
2015-01-04 23:00:00,0.042016807
2015-01-05 02:00:00,0.109243697
2015-01-05 05:00:00,0.084033613
2015-01-05 08:00:00,0.075630252
2015-01-05 11:00:00,0.008403361
2015-01-05 14:00:00,0.025210084
2015-01-05 17:00:00,0.033613445
2015-01-05 20:00:00,0.134453782
2015-01-05 23:00:00,0.361344538
2015-01-06 02:00:00,0.974789916
2015-01-06 05:00:00,0.924369748
2015-01-06 08:00:00,0.495798319
2015-01-06 11:00:00,0.100840336
2015-01-06 14:00:00,0.016806723
2015-01-06 17:00:00,0.016806723
2015-01-06 20:00:00,0.033613445
2015-01-06 23:00:00,0
2015-01-07 02:00:00,0.008403361
2015-01-07 05:00:00,0
2015-01-07 08:00:00,0
2015-01-07 11:00:00,0
2015-01-07 14:00:00,0
2015-01-07 17:00:00,0.008403361
2015-01-07 20:00:00,0
2015-01-07 23:00:00,0
2015-01-08 02:00:00,0
2015-01-08 05:00:00,0
2015-01-08 08:00:00,0.008403361
2015-01-08 11:00:00,0
2015-01-08 14:00:00,0
2015-01-08 17:00:00,0
2015-01-08 20:00:00,0
2015-01-08 23:00:00,0
2015-01-09 02:00:00,0
2015-01-09 05:00:00,0.016806723
2015-01-09 08:00:00,0.008403361
2015-01-09 11:00:00,0.008403361
2015-01-09 14:00:00,0
2015-01-09 17:00:00,0
2015-01-09 20:00:00,0
2015-01-09 23:00:00,0
2015-01-10 02:00:00,0
2015-01-10 05:00:00,0
2015-01-10 08:00:00,0
2015-01-10 11:00:00,0
2015-01-10 14:00:00,0
2015-01-10 17:00:00,0
2015-01-10 20:00:00,0
2015-01-10 23:00:00,0
2015-01-11 02:00:00,0
2015-01-11 05:00:00,0
2015-01-11 08:00:00,0
2015-01-11 11:00:00,0
2015-01-11 14:00:00,0
2015-01-11 17:00:00,0
2015-01-11 20:00:00,0
2015-01-11 23:00:00,0
2015-01-12 02:00:00,0
2015-01-12 05:00:00,0
2015-01-12 08:00:00,0
2015-01-12 11:00:00,0.008403361
2015-01-12 14:00:00,0
2015-01-12 17:00:00,0
2015-01-12 20:00:00,0
2015-01-12 23:00:00,0
2015-01-13 02:00:00,0
2015-01-13 05:00:00,0
2015-01-13 08:00:00,0
2015-01-13 11:00:00,0
2015-01-13 14:00:00,0
2015-01-13 17:00:00,0
2015-01-13 20:00:00,0
2015-01-13 23:00:00,0
2015-01-14 02:00:00,0
2015-01-14 05:00:00,0
2015-01-14 08:00:00,0
2015-01-14 11:00:00,0.008403361
2015-01-14 14:00:00,0
2015-01-14 17:00:00,0
2015-01-14 20:00:00,0
2015-01-14 23:00:00,0
2015-01-15 02:00:00,0
2015-01-15 05:00:00,0
2015-01-15 08:00:00,0
2015-01-15 11:00:00,0
2015-01-15 14:00:00,0
2015-01-15 17:00:00,0
2015-01-15 20:00:00,0
2015-01-15 23:00:00,0
2015-01-16 02:00:00,0
2015-01-16 05:00:00,0
2015-01-16 08:00:00,0
2015-01-16 11:00:00,0
2015-01-16 14:00:00,0
2015-01-16 17:00:00,0
2015-01-16 20:00:00,0
2015-01-16 23:00:00,0
2015-01-17 02:00:00,0
2015-01-17 05:00:00,0
2015-01-17 08:00:00,0
2015-01-17 11:00:00,0
2015-01-17 14:00:00,0
2015-01-17 17:00:00,0
2015-01-17 20:00:00,0
2015-01-17 23:00:00,0
2015-01-18 02:00:00,0
2015-01-18 05:00:00,0
2015-01-18 08:00:00,0
2015-01-18 11:00:00,0
2015-01-18 14:00:00,0
2015-01-18 17:00:00,0
2015-01-18 20:00:00,0
2015-01-18 23:00:00,0
2015-01-19 02:00:00,0
2015-01-19 05:00:00,0
2015-01-19 08:00:00,0
2015-01-19 11:00:00,0
2015-01-19 14:00:00,0
2015-01-19 17:00:00,0
2015-01-19 20:00:00,0
2015-01-19 23:00:00,0
2015-01-20 02:00:00,0
